Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0.2480544999998994,1000,,,,6.134843450880422,11.99198927574491,0.37863942115515214,0,0,4.539724493193459,0,,
0.26682199999941514,1000,,,,4.888759609463583,11.994074928219172,0.1271572986018675,0,0,1.5251054111890996,0,,
0.8902762499995529,1000,,,,5.3572669954622345,11.993566518536976,0.05158151472259918,0,0,0.6186479394479532,0,,
1.520414749999251,1000,,,,4.919296894074601,11.993675425044255,0.04784247913240468,0,0,0.5738070604700745,0,,
2.132179249999486,1000,,,,5.514867256921567,11.995201200956991,0.044016344419735606,0,0,0.5279848765000724,0,,
2.7244882499993777,1000,,,,5.842391224124002,11.995428534723917,0.042755196193790874,0,0,0.5128671828059237,0,,
3.343480749999732,1000,,,,5.8344772622959375,11.995424361554589,0.04922462989079017,0,0,0.5904705423429347,0,,
3.9244609999991953,1000,,,,5.633987698102782,11.995020460660921,0.0487432234340472,0,0,0.5846759482758677,0,,
4.560079999999795,1000,,,,5.801221689256982,11.994993152645147,0.04943605337772715,0,0,0.5929849399413627,0,,
5.228729249999299,1000.2287025000003,,,,5.2694816941612475,11.994247039104668,0.04783004966531448,0,0,0.5736859945618922,0,,
5.8144372499994,1016.0902841666699,,,,6.113828322308218,11.994446237436632,0.041329489712916986,0,0,0.49572468501408135,0,,
6.382391749999579,1040.7745866666753,,,,6.31583627352917,11.993140768514138,0.2714509904514011,0,0,3.2552714594327,0,,
6.91820999999903,1063.7165750000063,,,,17.07534900400043,11.988987477064885,0.7910539683688791,0,0,9.483846137938517,0,,
7.510464999999478,1089.6519000000044,,,,46.84801359077092,11.985217485874077,1.1863420323304381,0,0,14.218423601329885,0,,
8.113630999999215,1115.4902883333255,,,,75.32898546563743,11.98058151684226,1.6298694137310001,0,0,19.526649744462414,0,,
8.7409407499996,1142.5712275000053,,,,103.87023767538254,11.9760045512395,2.1482355413421086,0,0,25.72707714984598,0,,
9.354613499999605,1169.7747891666618,,,,134.0152833160377,11.970753131969879,2.715748524490699,0,0,32.50936139144246,0,,
9.918448249999525,1193.9293416666733,,,,160.02119846051713,11.966828997042587,3.1962759549506847,0,0,38.249108973947685,0,,
10.538818249999267,1220.701790833343,,,,187.92273422762898,11.962821312288408,3.7683048983490557,0,0,45.079377101113735,0,,
11.140575499999336,1246.6000549999942,,,,213.96045728591852,11.958866066681605,4.325161658141667,0,0,51.723724715046885,0,,
11.778636499999278,1274.3121983333256,,,,236.88959923659465,11.954665141411962,4.7200749510299165,0,0,56.42688245819369,0,,
12.415152499999383,1302.1211916666612,,,,244.2377808511234,11.950481026229197,5.062126475365871,0,0,60.49341795040899,0,,
13.045398499999198,1329.2267550000045,,,,286.9989723601227,11.941116495394706,6.137260358067345,0,0,73.28551289749092,0,,
13.722012249999585,1358.6215099999972,,,,320.05851590751854,11.935191528957102,6.772437680318424,0,0,80.83023917941132,0,,
14.351904249999397,1385.97409499999,,,,343.4540515976697,11.93212145882885,7.298243907105359,0,0,87.08334294487761,0,,
14.950970999999436,1411.9030824999986,,,,366.67164064584557,11.928049354099514,7.897448586396623,0,0,94.20105815688449,0,,
15.553197249999272,1438.0908350000045,,,,389.32114814666073,11.923964173272841,8.393388311575624,0,0,100.08227841704624,0,,
16.197500499999247,1465.9040316666778,,,,409.5572137234636,11.918702391787564,8.920641337846735,0,0,106.32235503708444,0,,
16.798178999999724,1491.9547208333333,,,,429.9385302345501,11.91435394950845,9.409357672957709,0,0,112.10627320194592,0,,
17.401803249999602,1517.892678333332,,,,448.4193638933679,11.909729412162328,9.907377258345932,0,0,117.99405766330077,0,,
18.04543724999921,1546.1635508333325,,,,469.6021498089286,11.906163173066766,10.414401501221949,0,0,123.99548052079346,0,,
18.63644674999928,1571.4120966666683,,,,486.37381006000317,11.902209612168997,10.803074632780165,0,0,128.58037955144206,0,,
19.26670424999949,1598.9659866666593,,,,502.67198907061925,11.898597942976707,11.242704433106956,0,0,133.77223303592365,0,,
19.886399999999536,1625.3812824999925,,,,517.5304869408703,11.89524581818065,11.664249090935654,0,0,138.7490020313604,0,,
20.474232499999278,1651.4092000000012,,,,533.5606767040215,11.89085783423756,12.089662042496865,0,0,143.75630823975035,0,,
21.088429749999474,1677.6660366666626,,,,548.743085848369,11.886368179610225,12.426673355066004,0,0,147.70789099170852,0,,
21.671010749999617,1703.0902233333404,,,,561.9871466145592,11.884226095380217,12.775017595651287,0,0,151.82109844097943,0,,
22.28915949999951,1729.911996666668,,,,574.1268170444345,11.881794707727646,13.079270615304438,0,0,155.4051911009762,0,,
22.90751724999938,1756.6276683333297,,,,587.079734940623,11.880400909777217,13.375849264622229,0,0,158.9103921665332,0,,
23.554115749999134,1784.6489191666756,,,,598.4362622118059,11.876494962811623,13.752847742593449,0,0,163.33542583414842,0,,
24.188565999999362,1812.3870516666589,,,,610.3849866718518,11.872460021048134,14.054068264956985,0,0,166.85629856173892,0,,
24.801382499999185,1838.8092049999927,,,,622.6303131486957,11.86871945351314,14.387554717950746,0,0,170.76173643391172,0,,
25.426764249999447,1865.7816916666725,,,,634.2753713227914,11.866902681768815,14.706877386664033,0,0,174.5250378089939,0,,
26.054907999998978,1892.8761833333333,,,,645.2309267666736,11.864607413774703,14.940864494656504,0,0,177.2673813025046,0,,
26.66955249999929,1919.5309933333288,,,,656.9050356175372,11.861841372494895,15.304078653305378,0,0,181.53446294633676,0,,
