Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0.2968835000002524,1000,,,,1.8625399301243195,14.990179786204237,0.2405306755006081,0,0,3.6049458546117727,0,,
0.2806174999997718,1000,,,,1.8606052570621507,14.988476005064658,0.344886591690043,0,0,5.168775022530513,0,,
0.9198117499996907,1000,,,,1.6249348100075025,14.990633564454928,0.25864947136881694,0,0,3.877132658271441,0,,
1.5385827499997338,1000,,,,1.9935056469111587,14.989993272663941,0.3903870850947526,0,0,5.851430388513563,0,,
2.1363362499997023,1000,,,,2.5494870183727167,14.992747640596857,0.03475039595717957,0,0,0.5209999656168256,0,,
2.7378884999997446,1000,,,,2.3144148265010243,14.992335517556716,0.0223868406493369,0,0,0.33563018152672053,0,,
3.325014499999746,1000,,,,2.3200557136767004,14.991410300960649,0.02008035476488699,0,0,0.30103299938768374,0,,
3.93223749999972,1000,,,,1.9711777251441576,14.992012666083468,0.017321113016794558,0,0,0.2596779013365158,0,,
4.538795499999706,1000,,,,2.12777928681876,14.992215799314767,0.018945159866003987,0,0,0.28402938405292205,0,,
5.214100499999826,1000.4281658333333,,,,2.0231692586809924,14.992925637091748,0.021793884362439318,0,0,0.32675349031272927,0,,
5.862633749999735,1019.7096683333366,,,,2.226428280512338,14.992819933279147,0.03332225124639673,0,0,0.4995453581228456,0,,
6.555990249999776,1049.6742350000009,,,,8.23754780847865,14.988154358691327,0.4410302487433574,0,0,6.610196761917145,0,,
7.248988749999716,1079.6851358333347,,,,43.26272243795333,14.986013155265606,0.7179188161415423,0,0,10.758673667796605,0,,
7.914150999999677,1108.5435216666751,,,,78.66671426868022,14.983279976738828,1.0554331027826966,0,0,15.813770656513062,0,,
8.57253349999976,1137.184818333335,,,,112.51159879524417,14.980498850835792,1.4753496849623133,0,0,22.10136779277618,0,,
9.209644749999766,1164.5622550000012,,,,147.48603839196258,14.976776264017593,1.918558320305325,0,0,28.733720587145534,0,,
9.868911749999736,1193.2727008333354,,,,184.44953112147073,14.972083336141415,2.3871860680657324,0,0,35.74097026365057,0,,
10.502041499999773,1220.5919300000019,,,,217.4391054842389,14.968310824432342,2.8400021457183984,0,0,42.5099013842296,0,,
11.066251749999731,1245.1892083333369,,,,247.26185653772697,14.965232251233152,3.266370470401854,0,0,48.88197722065432,0,,
11.698281749999754,1272.4474133333374,,,,280.8587832014161,14.960926112489961,3.8090076281119254,0,0,56.98594428443353,0,,
12.27052874999978,1297.5723941666695,,,,312.789320723852,14.957439263501874,4.255730095317989,0,0,63.654774465070275,0,,
12.8289734999998,1321.7880791666653,,,,341.06820886646994,14.95317959789663,4.723781631081841,0,0,70.63535858493425,0,,
13.458333499999693,1349.0405100000012,,,,371.8157586147791,14.948492033518443,5.211440867542523,0,0,77.90306120783086,0,,
14.0341734999998,1373.8385083333349,,,,400.12633633989026,14.94549828476077,5.691881073313742,0,0,85.06784098231572,0,,
14.632471749999747,1399.8117283333345,,,,427.81252030499996,14.940739691559793,6.225321615091532,0,0,93.01075629414603,0,,
15.209071999999836,1424.557542500001,,,,455.48358103045643,14.9364657204966,6.670305057051088,0,0,99.6307012791323,0,,
15.860487499999703,1452.971805000004,,,,483.5893852910928,14.932964259202299,7.202540344964797,0,0,107.55508635624949,0,,
16.492956249999814,1480.5366691666693,,,,512.1952789493183,14.928124628713984,7.673107837287215,0,0,114.54500140616292,0,,
17.0909339999998,1506.2495966666645,,,,538.0388023027211,14.923829332074103,8.096523844960338,0,0,120.83106579816874,0,,
17.751934499999837,1534.7806100000012,,,,567.992152805927,14.920163541844513,8.661246916063163,0,0,129.22706549201138,0,,
18.335537499999763,1560.3995800000007,,,,592.4854539418616,14.915606050523241,9.14375310175545,0,0,136.38445544794573,0,,
18.915628249999784,1585.3080566666683,,,,617.2210777857232,14.9099156761594,9.537827294925956,0,0,142.2080983753579,0,,
19.508360749999852,1611.048717500006,,,,641.6021758446151,14.908283266667832,10.05891652038919,0,0,149.961024261505,0,,
20.142918249999774,1638.6137441666688,,,,664.1617301885873,14.9025236256814,10.63587235793022,0,0,158.50075123172678,0,,
20.749062999999822,1664.8588483333356,,,,697.2196269996955,14.897703783440818,11.210896611582182,0,0,167.01656871713462,0,,
21.336670999999672,1690.4337158333378,,,,722.5799546512158,14.896293844592137,11.747279091277434,0,0,174.9906006065918,0,,
21.882316249999725,1714.0437308333362,,,,746.8866322770194,14.890079510162717,12.18552725744155,0,0,181.4431522829326,0,,
22.508970999999715,1741.279337500003,,,,774.2117097643295,14.886841003578743,12.51332011127054,0,0,186.28342602939304,0,,
23.071322999999765,1765.528400000004,,,,794.3627815272184,14.880878530226138,13.132661643868612,0,0,195.42542526980654,0,,
23.80414174999977,1797.1181508333361,,,,829.0867176169625,14.873780788583172,13.88745515872169,0,0,206.5583838659858,0,,
24.400095999999735,1823.165871666668,,,,862.7643027885667,14.867708913361744,14.66697481294931,0,0,218.0640498432976,0,,
25.00629424999978,1849.2883858333357,,,,904.0636664415172,14.860136240541967,15.569835931078117,0,0,231.36908709685767,0,,
25.64289774999968,1876.7983033333367,,,,954.7014980740277,14.849542376303628,16.741179146806104,0,0,248.5974315464137,0,,
26.29561599999971,1905.3574616666733,,,,1016.5496165667363,14.838044613505478,18.111351079368823,0,0,268.73565493044913,0,,
26.90036124999968,1931.190346666667,,,,1073.428578707329,14.825858423024627,19.4693562792057,0,0,288.648187846441,0,,
27.608948999999747,1962.0604825000003,,,,1148.2401203300722,14.811845257242908,21.04598587966479,0,0,311.72816393206324,0,,
28.223831499999783,1988.9032183333372,,,,1209.000041313577,14.797762669496274,22.676473760829786,0,0,335.5595243246853,0,,
28.80326949999968,2013.8181516666705,,,,1270.3307926973584,14.789003744246468,23.909431578481225,0,0,353.59658083531997,0,,
29.43586074999974,2040.9962008333357,,,,1292.0226589676906,14.786949938549455,24.00295771569501,0,0,354.93053648229113,0,,
30.07397174999975,2069.0101933333367,,,,1294.2359329927087,14.786130443013102,24.013318036878832,0,0,355.0640569294672,0,,
30.70817624999976,2096.269763333336,,,,1295.4883215043749,14.786207157676852,24.03766531301926,0,0,355.4258997506405,0,,
31.365445999999764,2124.516109166673,,,,1295.5420057924448,14.786899167018145,24.034111389791743,0,0,355.38998051420003,0,,
31.99717699999973,2152.4010766666697,,,,1293.149813023875,14.786683557075733,24.01334144874934,0,0,355.0776847033218,0,,
32.63387499999982,2179.5956358333356,,,,1294.6625390170348,14.787489161108812,23.999467734801975,0,0,354.89186587652404,0,,
33.2800154999998,2207.4885008333395,,,,1291.8811026793737,14.78646680404616,23.9980325461326,0,0,354.846113050128,0,,
33.90582674999972,2235.1248108333375,,,,1290.9306371830369,14.786606127478617,23.96327118388917,0,0,354.3354530801122,0,,
34.499103749999776,2260.5511425000027,,,,1291.5267836251292,14.787497830472878,23.963383781871787,0,0,354.3584797889115,0,,
35.1176729999997,2287.0052975000026,,,,1290.626235116534,14.78743396378167,23.986493556815393,0,0,354.6986773043681,0,,
35.76841974999972,2300,,,,1290.8742328578987,14.787476355699942,23.96925242776332,0,0,354.4447545782592,0,,
36.349036499999784,2300,,,,1292.63049619852,14.786840706254122,23.990093603371232,0,0,354.73769066413195,0,,
36.98084374999969,2300,,,,1293.4108442968247,14.785902091889255,23.991071245732943,0,0,354.7296314280824,0,,
